pizza_name_id,pizza_name,pizza_ingredients,Items_Qty_In_Grams
bbq_ckn_l,The Barbecue Chicken Pizza,barbecued chicken,40.0
bbq_ckn_l,The Barbecue Chicken Pizza,red peppers,15.0
bbq_ckn_l,The Barbecue Chicken Pizza,green peppers,20.0
bbq_ckn_l,The Barbecue Chicken Pizza,tomatoes,30.0
bbq_ckn_l,The Barbecue Chicken Pizza,red onions,60.0
bbq_ckn_l,The Barbecue Chicken Pizza,barbecue sauce,15.0
bbq_ckn_m,The Barbecue Chicken Pizza,barbecued chicken,30.0
bbq_ckn_m,The Barbecue Chicken Pizza,red peppers,10.0
bbq_ckn_m,The Barbecue Chicken Pizza,green peppers,15.0
bbq_ckn_m,The Barbecue Chicken Pizza,tomatoes,20.0
bbq_ckn_m,The Barbecue Chicken Pizza,red onions,40.0
bbq_ckn_m,The Barbecue Chicken Pizza,barbecue sauce,10.0
bbq_ckn_s,The Barbecue Chicken Pizza,barbecued chicken,20.0
bbq_ckn_s,The Barbecue Chicken Pizza,red peppers,5.0
bbq_ckn_s,The Barbecue Chicken Pizza,green peppers,20.0
bbq_ckn_s,The Barbecue Chicken Pizza,tomatoes,10.0
bbq_ckn_s,The Barbecue Chicken Pizza,red onions,20.0
bbq_ckn_s,The Barbecue Chicken Pizza,barbecue sauce,5.0
big_meat_s,The Big Meat Pizza,pepperoni,50.0
big_meat_s,The Big Meat Pizza,italian sausage,10.0
big_meat_s,The Big Meat Pizza,chorizo sausage,50.0
brie_carre_s,The Brie Carre Pizza,brie carre cheese,30.0
brie_carre_s,The Brie Carre Pizza,prosciutto,30.0
brie_carre_s,The Brie Carre Pizza,pears,10.0
brie_carre_s,The Brie Carre Pizza,thyme,5.0
brie_carre_s,The Brie Carre Pizza,garlic,5.0
calabrese_l,The Calabrese Pizza,?duja salami,60.0
calabrese_l,The Calabrese Pizza,tomatoes,30.0
calabrese_l,The Calabrese Pizza,red onions,60.0
calabrese_l,The Calabrese Pizza,friggitello peppers,15.0
calabrese_l,The Calabrese Pizza,garlic,15.0
calabrese_m,The Calabrese Pizza,?duja salami,40.0
calabrese_m,The Calabrese Pizza,pancetta,60.0
calabrese_m,The Calabrese Pizza,tomatoes,20.0
calabrese_m,The Calabrese Pizza,red onions,40.0
calabrese_m,The Calabrese Pizza,friggitello peppers,10.0
calabrese_m,The Calabrese Pizza,garlic,10.0
calabrese_s,The Calabrese Pizza,?duja salami,20.0
calabrese_s,The Calabrese Pizza,pancetta,30.0
calabrese_s,The Calabrese Pizza,tomatoes,10.0
calabrese_s,The Calabrese Pizza,red onions,20.0
calabrese_s,The Calabrese Pizza,friggitello peppers,5.0
calabrese_s,The Calabrese Pizza,garlic,5.0
cali_ckn_l,The California Chicken Pizza,artichokes,20.0
cali_ckn_l,The California Chicken Pizza,spinach,45.0
cali_ckn_l,The California Chicken Pizza,garlic,15.0
cali_ckn_l,The California Chicken Pizza,jalapeno peppers,15.0
cali_ckn_l,The California Chicken Pizza,fontina cheese,30.0
cali_ckn_l,The California Chicken Pizza,gouda cheese,30.0
cali_ckn_m,The California Chicken Pizza,artichokes,15.0
cali_ckn_m,The California Chicken Pizza,spinach,30.0
cali_ckn_m,The California Chicken Pizza,garlic,10.0
cali_ckn_m,The California Chicken Pizza,jalapeno peppers,10.0
cali_ckn_m,The California Chicken Pizza,fontina cheese,20.0
cali_ckn_m,The California Chicken Pizza,gouda cheese,20.0
cali_ckn_s,The California Chicken Pizza,chicken,50.0
cali_ckn_s,The California Chicken Pizza,artichokes,10.0
cali_ckn_s,The California Chicken Pizza,spinach,15.0
cali_ckn_s,The California Chicken Pizza,garlic,5.0
cali_ckn_s,The California Chicken Pizza,jalapeno peppers,5.0
cali_ckn_s,The California Chicken Pizza,fontina cheese,10.0
cali_ckn_s,The California Chicken Pizza,gouda cheese,10.0
ckn_alfredo_l,The Chicken Alfredo Pizza,red onions,60.0
ckn_alfredo_l,The Chicken Alfredo Pizza,red peppers,15.0
ckn_alfredo_l,The Chicken Alfredo Pizza,mushrooms,60.0
ckn_alfredo_l,The Chicken Alfredo Pizza,asiago cheese,30.0
ckn_alfredo_l,The Chicken Alfredo Pizza,alfredo sauce,20.0
ckn_alfredo_m,The Chicken Alfredo Pizza,red onions,40.0
ckn_alfredo_m,The Chicken Alfredo Pizza,red peppers,10.0
ckn_alfredo_m,The Chicken Alfredo Pizza,mushrooms,40.0
ckn_alfredo_m,The Chicken Alfredo Pizza,asiago cheese,20.0
ckn_alfredo_m,The Chicken Alfredo Pizza,alfredo sauce,15.0
ckn_alfredo_s,The Chicken Alfredo Pizza,chicken,50.0
ckn_alfredo_s,The Chicken Alfredo Pizza,red onions,20.0
ckn_alfredo_s,The Chicken Alfredo Pizza,red peppers,5.0
ckn_alfredo_s,The Chicken Alfredo Pizza,mushrooms,20.0
ckn_alfredo_s,The Chicken Alfredo Pizza,asiago cheese,10.0
ckn_alfredo_s,The Chicken Alfredo Pizza,alfredo sauce,10.0
ckn_pesto_l,The Chicken Pesto Pizza,tomatoes,30.0
ckn_pesto_l,The Chicken Pesto Pizza,red peppers,15.0
ckn_pesto_l,The Chicken Pesto Pizza,spinach,45.0
ckn_pesto_l,The Chicken Pesto Pizza,garlic,15.0
ckn_pesto_l,The Chicken Pesto Pizza,pesto sauce,30.0
ckn_pesto_m,The Chicken Pesto Pizza,tomatoes,20.0
ckn_pesto_m,The Chicken Pesto Pizza,red peppers,10.0
ckn_pesto_m,The Chicken Pesto Pizza,spinach,30.0
ckn_pesto_m,The Chicken Pesto Pizza,garlic,10.0
ckn_pesto_m,The Chicken Pesto Pizza,pesto sauce,20.0
ckn_pesto_s,The Chicken Pesto Pizza,chicken,50.0
ckn_pesto_s,The Chicken Pesto Pizza,tomatoes,10.0
ckn_pesto_s,The Chicken Pesto Pizza,red peppers,5.0
ckn_pesto_s,The Chicken Pesto Pizza,spinach,15.0
ckn_pesto_s,The Chicken Pesto Pizza,garlic,5.0
ckn_pesto_s,The Chicken Pesto Pizza,pesto sauce,10.0
classic_dlx_l,The Classic Deluxe Pizza,pepperoni,60.0
classic_dlx_l,The Classic Deluxe Pizza,mushrooms,60.0
classic_dlx_l,The Classic Deluxe Pizza,red onions,60.0
classic_dlx_l,The Classic Deluxe Pizza,red peppers,15.0
classic_dlx_m,The Classic Deluxe Pizza,pepperoni,40.0
classic_dlx_m,The Classic Deluxe Pizza,mushrooms,40.0
classic_dlx_m,The Classic Deluxe Pizza,red onions,40.0
classic_dlx_m,The Classic Deluxe Pizza,red peppers,10.0
classic_dlx_s,The Classic Deluxe Pizza,pepperoni,20.0
classic_dlx_s,The Classic Deluxe Pizza,mushrooms,20.0
classic_dlx_s,The Classic Deluxe Pizza,red onions,20.0
classic_dlx_s,The Classic Deluxe Pizza,red peppers,5.0
classic_dlx_s,The Classic Deluxe Pizza,bacon,50.0
five_cheese_l,The Five Cheese Pizza,mozzarella cheese,30.0
five_cheese_l,The Five Cheese Pizza,provolone cheese,30.0
five_cheese_l,The Five Cheese Pizza,smoked gouda cheese,30.0
five_cheese_l,The Five Cheese Pizza,romano cheese,30.0
five_cheese_l,The Five Cheese Pizza,blue cheese,30.0
