pizza_ingredients,base_grams,safety_stock_grams,total_grams,base_kg,safety_stock_kg,total_kg,recommended_packs_5kg
red onions,15089.259359897773,1508.9259359897785,16598.0,15.09,1.51,16.6,4
tomatoes,10362.453316853906,1036.2453316853914,11397.0,10.36,1.04,11.4,3
pepperoni,7490.9344650020885,749.0934465002096,8240.0,7.49,0.75,8.24,2
mushrooms,6588.059369230007,658.8059369230012,7249.0,6.59,0.66,7.25,2
garlic,5423.216709626578,542.3216709626583,5967.0,5.42,0.54,5.97,2
spinach,5288.165108396754,528.8165108396759,5816.0,5.29,0.53,5.82,2
mozzarella cheese,3778.190578983773,377.81905789837765,4156.0,3.78,0.38,4.16,1
red peppers,3140.898886433395,314.08988864333975,3455.0,3.14,0.31,3.46,1
goat cheese,2734.6593309268137,273.4659330926816,3008.0,2.73,0.27,3.01,1
pineapple,2682.0488677971225,268.2048867797125,2950.0,2.68,0.27,2.95,1
feta cheese,2237.119830813724,223.7119830813726,2462.0,2.24,0.22,2.46,1
artichokes,2197.7071814588353,219.77071814588373,2419.0,2.2,0.22,2.42,1
green peppers,1683.8060081043818,168.38060081043832,1853.0,1.68,0.17,1.85,1
chorizo sausage,1551.1950984630478,155.1195098463049,1706.0,1.55,0.16,1.71,1
chicken,1547.579259072691,154.75792590726923,1701.0,1.55,0.15,1.7,1
corn,1507.4434418397311,150.74434418397323,1658.0,1.51,0.15,1.66,1
chipotle sauce,1415.6011213246693,141.56011213246705,1558.0,1.42,0.14,1.56,1
ricotta cheese,1367.6912494024425,136.76912494024438,1504.0,1.37,0.14,1.5,1
barbecued chicken,1340.2108700357312,134.02108700357323,1474.0,1.34,0.13,1.47,1
coarse sicilian salami,1306.7643556749313,130.67643556749323,1438.0,1.31,0.13,1.44,1
luganega sausage,1281.453479942434,128.1453479942435,1410.0,1.28,0.13,1.41,1
asiago cheese,1252.5267648195797,125.25267648195809,1377.0,1.25,0.13,1.38,1
fontina cheese,1240.0521189228489,124.005211892285,1364.0,1.24,0.12,1.36,1
jalapeno peppers,1145.9498987888144,114.59498987888155,1260.0,1.15,0.11,1.26,1
green olives,1095.3281473238198,109.53281473238209,1205.0,1.1,0.11,1.2,1
gorgonzola piccante cheese,1094.152999521954,109.4152999521955,1204.0,1.09,0.11,1.2,1
capocollo,1081.1359777166697,108.11359777166706,1189.0,1.08,0.11,1.19,1
pesto sauce,1010.9886935437486,101.09886935437495,1111.0,1.01,0.1,1.11,1
thai sweet chilli sauce,969.5873325241638,96.95873325241647,1067.0,0.97,0.1,1.07,1
gouda cheese,876.2986762529595,87.62986762529601,964.0,0.88,0.09,0.96,1
zucchini,865.2703661123713,86.52703661123721,951.0,0.87,0.09,0.95,1
anchovies,752.3657811484817,75.23657811484824,828.0,0.75,0.08,0.83,1
?duja salami,725.6989656446007,72.56989656446014,798.0,0.73,0.07,0.8,1
blue cheese,709.9700642965488,70.99700642965495,781.0,0.71,0.07,0.78,1
smoked gouda cheese,709.9700642965488,70.99700642965495,781.0,0.71,0.07,0.78,1
romano cheese,709.9700642965488,70.99700642965495,781.0,0.71,0.07,0.78,1
provolone cheese,709.9700642965488,70.99700642965495,781.0,0.71,0.07,0.78,1
cilantro,707.8005606623346,70.78005606623353,778.0,0.71,0.07,0.78,1
bacon,699.6649220340321,69.96649220340328,770.0,0.7,0.07,0.77,1
plum tomatoes,685.201564472605,68.52015644726056,753.0,0.69,0.07,0.75,1
kalamata olives,681.6761210670071,68.16761210670077,750.0,0.68,0.07,0.75,1
eggplant,661.3370244962505,66.1337024496251,728.0,0.66,0.07,0.73,1
pancetta,645.9697070872343,64.59697070872348,711.0,0.65,0.06,0.71,1
onions,640.726739971217,64.07267399712175,704.0,0.64,0.06,0.7,1
genoa salami,624.8170466536471,62.481704665364774,687.0,0.62,0.06,0.69,1
beef chuck roast,617.223783933898,61.72237839338985,679.0,0.62,0.06,0.68,1
parmigiano reggiano cheese,616.139032116791,61.61390321167915,678.0,0.62,0.06,0.68,1
prosciutto di san daniele,579.9806382132234,57.9980638213224,639.0,0.58,0.06,0.64,1
barbecue sauce,460.8387303009684,46.08387303009688,507.0,0.46,0.05,0.51,1
peperoncini verdi,395.9344132440646,39.5934413244065,436.0,0.4,0.04,0.44,1
sun-dried tomatoes,331.48207611095546,33.14820761109558,366.0,0.33,0.03,0.37,1
italian sausage,310.23901969260953,31.02390196926098,341.0,0.31,0.03,0.34,1
oregano,287.73041948763876,28.7730419487639,317.0,0.29,0.03,0.32,1
alfredo sauce,272.0015181395869,27.20015181395871,299.0,0.27,0.03,0.3,1
soppressata salami,260.3404361056863,26.034043610568656,286.0,0.26,0.03,0.29,1
prosciutto,254.91667702015118,25.491667702015143,280.0,0.25,0.03,0.28,1
brie carre cheese,254.91667702015118,25.491667702015143,280.0,0.25,0.03,0.28,1
arugula,252.74717338593715,25.27471733859374,278.0,0.25,0.03,0.28,1
friggitello peppers,181.42474141115017,18.142474141115034,200.0,0.18,0.02,0.2,1
calabrese salami,173.56029073712423,17.35602907371244,191.0,0.17,0.02,0.19,1
pears,84.97222567338372,8.49722256733838,93.0,0.08,0.01,0.09,1
thyme,42.48611283669186,4.24861128366919,47.0,0.04,0.0,0.05,1
